x,y,Cluster_ID
20.043236,-44.23248,7
20.655743,-43.910378,7
21.895134,-43.135696,7
23.614494,-42.359184,7
9.732199,-16.381058,7
9.749737,-12.96563,7
9.360949,-11.303038,7
9.304603,-10.793722,8
9.855137,-9.488766,8
10.676642,-8.245236,8
11.161064,-7.4755974,7
23.528334,-49.777122,7
22.475462,-48.52022,7
21.9043,-47.343704,7
21.421745,-45.95943,7
21.558626,-45.696907,7
22.046448,-45.656754,7
25.013313,-43.63476,7
26.12145,-42.004166,7
26.157175,-41.26729,7
10.831848,-15.405142,7
10.379505,-14.796451,7
8.933392,-12.095708,7
8.119621,-12.3374195,7
7.148217,-13.300428,7
7.9170694,-17.986612,7
3.8477643,-32.01365,7
3.310837,-33.115444,7
4.1503725,-40.896,7
3.7250009,-41.48694,7
3.037286,-42.14916,7
3.253963,-43.030354,7
3.958434,-43.88627,7
3.7879868,-44.287125,7
3.9344423,-44.975853,7
4.3581967,-45.604538,7
4.2676597,-45.956997,7
-0.33077043,-44.69696,7
-4.76875,-43.01168,7
3.8358479,-13.745973,7
4.5111074,-14.522731,7
4.5143247,-15.2541275,7
5.239118,-16.000467,7
6.146291,-18.094467,7
-1.0648915,-33.90551,7
-1.1164858,-34.224792,7
-1.32779,-34.87581,7
-1.648486,-35.178062,7
-0.9666952,-36.16176,7
-0.78830934,-37.464752,7
-0.4264945,-38.562664,7
2.0789518,-42.09824,7
2.3976169,-43.24452,7
1.8609009,-43.48239,7
0.9499754,-43.649403,7
-2.3791482,-43.43612,7
-8.724357,-36.282215,7
-8.247508,-36.13238,7
-7.895599,-36.250046,7
-5.9499626,-37.307327,7
-5.6877503,-37.308914,7
-5.388858,-37.41886,7
-5.0207024,-23.16126,7
-4.969992,-23.046352,7
5.88118,-10.781066,7
6.1832547,-10.440736,7
9.3966875,-4.1357603,8
9.955477,-3.9773223,8
10.734907,-4.7986207,8
11.449487,-6.005162,7
18.213879,-39.246483,7
17.380726,-39.754097,7
17.306522,-40.866955,7
17.464743,-41.379326,7
32.24833,34.099483,3
29.611536,32.94509,3
20.656631,24.09936,3
21.774818,23.321127,3
22.862232,22.842142,3
23.69304,22.597805,3
27.02313,23.83686,3
30.610764,26.927841,3
31.38813,27.514845,3
35.658752,31.097666,3
36.19291,31.507309,3
36.68862,32.028618,3
37.014797,32.66552,3
37.368324,33.457653,3
37.517212,33.87752,3
11.705476,-14.520099,7
10.98401,-14.262618,7
5.574646,-13.372071,7
3.5986326,-15.195861,7
3.5069447,-15.370139,7
-7.57836,-34.287632,7
-6.752754,-35.359528,7
7.826157,-41.380917,7
7.6444225,-42.006096,7
7.308269,-42.375446,7
6.312027,-42.84355,7
6.106181,-42.854412,7
4.9646754,-38.864185,7
5.1265125,-38.29765,7
5.31549,-37.486828,7
5.465542,-37.164204,7
5.7103004,-36.16905,7
1.4415712,-24.644636,7
1.9655796,-22.557724,7
2.0786629,-21.594471,7
2.249567,-21.336157,7
5.344916,-22.373606,7
6.581532,-23.205254,7
5.993808,-30.848402,7
14.309881,-35.935093,7
14.553558,-36.85864,7
15.700657,-38.525967,7
16.037416,-39.56302,7
15.79379,-40.008213,7
14.619783,-40.3448,7
-0.033530157,-28.644466,7
-0.327901,-27.223799,7
-0.98434013,-18.86087,7
0.01223418,-17.115583,7
0.3590241,-16.229303,7
-5.5585313,-31.4142,7
-5.2430525,-32.09326,7
15.575539,-37.271713,7
14.9491005,-38.662277,7
13.817983,-38.691185,7
9.922083,-37.351505,7
1.2808816,-28.59676,7
-1.7605613,-21.037506,7
-1.3916663,-19.984259,7
